BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
國票證券,7790,國票-天祥,0037003700390056,Buy,6182合晶,"44531","51870","7339"
國票證券,7790,國票-天祥,0037003700390056,Buy,2327國巨*,"16206","29798","13592"
國票證券,7790,國票-天祥,0037003700390056,Buy,3481群創,"14962","25002","10040"
國票證券,7790,國票-天祥,0037003700390056,Buy,2360致茂,"12342","12342","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,6515穎崴,"12127","17897","5770"
國票證券,7790,國票-天祥,0037003700390056,Buy,6223旺矽,"11702","11702","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,2344華邦電,"8810","13748","4938"
國票證券,7790,國票-天祥,0037003700390056,Buy,3231緯創,"8367","8951","584"
國票證券,7790,國票-天祥,0037003700390056,Buy,2408南亞科,"6621","10834","4213"
國票證券,7790,國票-天祥,0037003700390056,Buy,6669緯穎,"4908","4950","42"
國票證券,7790,國票-天祥,0037003700390056,Buy,3406玉晶光,"3147","3147","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,2455全新,"3031","4738","1707"
國票證券,7790,國票-天祥,0037003700390056,Buy,4991環宇-KY,"2452","2452","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,6789采鈺,"2358","2372","14"
國票證券,7790,國票-天祥,0037003700390056,Buy,3376新日興,"1817","1817","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,6147頎邦,"1622","3887","2265"
國票證券,7790,國票-天祥,0037003700390056,Buy,6291沛亨,"1535","1535","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,6139亞翔,"1477","1477","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,00918大華優利高填息30,"1427","1598","171"
國票證券,7790,國票-天祥,0037003700390056,Buy,2382廣達,"1406","1406","0"
國票證券,7790,國票-天祥,0037003700390056,Buy,00919群益台灣精選高息,"1335","1470","135"
國票證券,7790,國票-天祥,0037003700390056,Buy,4979華星光,"1323","2579","1256"
國票證券,7790,國票-天祥,0037003700390056,Buy,2368金像電,"1244","2299","1055"
國票證券,7790,國票-天祥,0037003700390056,Buy,00662富邦NASDAQ,"1230","1242","12"
