BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
大昌,6460,大昌,6460,Buy,2408南亞科,"21284","42610","21326"
大昌,6460,大昌,6460,Buy,3017奇鋐,"13684","41499","27815"
大昌,6460,大昌,6460,Buy,6669緯穎,"11363","11363","0"
大昌,6460,大昌,6460,Buy,3231緯創,"7322","9140","1818"
大昌,6460,大昌,6460,Buy,3680家登,"5445","5451","6"
大昌,6460,大昌,6460,Buy,1303南亞,"5147","18006","12859"
大昌,6460,大昌,6460,Buy,5536聖暉*,"5052","5059","7"
大昌,6460,大昌,6460,Buy,2344華邦電,"5023","15893","10870"
大昌,6460,大昌,6460,Buy,2382廣達,"4904","7301","2397"
大昌,6460,大昌,6460,Buy,00935野村臺灣新科技50,"4578","5444","866"
大昌,6460,大昌,6460,Buy,00673R期元大S＆P原油反1,"4187","4408","221"
大昌,6460,大昌,6460,Buy,2455全新,"3762","12882","9120"
大昌,6460,大昌,6460,Buy,6508惠光,"3458","3458","0"
大昌,6460,大昌,6460,Buy,6919康霈*,"3295","4059","764"
大昌,6460,大昌,6460,Buy,5871中租-KY,"3271","3271","0"
大昌,6460,大昌,6460,Buy,6683雍智科技,"3235","3235","0"
大昌,6460,大昌,6460,Buy,6147頎邦,"3183","5201","2018"
大昌,6460,大昌,6460,Buy,3661世芯-KY,"3058","9455","6397"
大昌,6460,大昌,6460,Buy,3324雙鴻,"3019","6355","3336"
大昌,6460,大昌,6460,Buy,6274台燿,"2957","24787","21830"
大昌,6460,大昌,6460,Buy,9904寶成,"2559","2559","0"
大昌,6460,大昌,6460,Buy,3665貿聯-KY,"2540","4848","2308"
大昌,6460,大昌,6460,Buy,4991環宇-KY,"2492","2492","0"
大昌,6460,大昌,6460,Buy,8054安國,"2359","2539","180"
大昌,6460,大昌,6460,Buy,2243宏旭-KY,"2188","2188","0"
大昌,6460,大昌,6460,Buy,7795長廣,"2007","2522","515"
大昌,6460,大昌,6460,Buy,3260威剛,"1936","1936","0"
大昌,6460,大昌,6460,Buy,3605宏致,"1894","3763","1869"
大昌,6460,大昌,6460,Buy,6788華景電,"1690","1690","0"
大昌,6460,大昌,6460,Buy,6239力成,"1677","5986","4309"
大昌,6460,大昌,6460,Buy,6224聚鼎,"1674","1758","84"
大昌,6460,大昌,6460,Buy,4967十銓,"1649","1922","273"
大昌,6460,大昌,6460,Buy,3491昇達科,"1648","3186","1538"
大昌,6460,大昌,6460,Buy,2489瑞軒,"1619","2592","973"
大昌,6460,大昌,6460,Buy,6674鋐寶科技,"1606","1606","0"
大昌,6460,大昌,6460,Buy,2337旺宏,"1599","1965","366"
大昌,6460,大昌,6460,Buy,6442光聖,"1508","3048","1540"
大昌,6460,大昌,6460,Buy,00984D主動聯博全球非投,"1479","1479","0"
大昌,6460,大昌,6460,Buy,3450聯鈞,"1461","6804","5343"
大昌,6460,大昌,6460,Buy,6446藥華藥,"1459","1523","64"
大昌,6460,大昌,6460,Buy,2316楠梓電,"1432","1620","188"
