BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2330台積電,"182796","189479","6683"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2408南亞科,"19086","27958","8872"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2454聯發科,"14160","17323","3163"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2059川湖,"13142","13206","64"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3665貿聯-KY,"7510","9778","2268"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2887台新新光金,"7253","7253","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6683雍智科技,"6706","8344","1638"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3231緯創,"5084","5629","545"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2308台達電,"5060","10625","5565"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,1303南亞,"4969","7023","2054"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3450聯鈞,"4946","6537","1591"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,1503士電,"4109","4368","259"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3481群創,"4049","22964","18915"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2455全新,"3917","4472","555"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3017奇鋐,"3555","3623","68"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6147頎邦,"3514","6555","3041"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3661世芯-KY,"2873","4471","1598"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,4770上品,"2858","2858","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,5536聖暉*,"2711","2724","13"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,4763材料*-KY,"2709","2757","48"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2345智邦,"2473","4479","2006"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00933B國泰10Y+金融債,"2309","2309","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00406A主動中信台灣收益,"2207","2376","169"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00918大華優利高填息30,"2135","2135","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3455由田,"2052","2547","495"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3006晶豪科,"1967","2248","281"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,4979華星光,"1822","2507","685"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6213聯茂,"1737","4641","2904"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,8299群聯,"1664","5522","3858"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2615萬海,"1607","1770","163"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,5269祥碩,"1415","1475","60"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3163波若威,"1387","1392","5"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00631L元大台灣50正2,"1318","5664","4346"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6173信昌電,"1215","1953","738"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6669緯穎,"1208","1236","28"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00927群益半導體收益,"1196","1210","14"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00935野村臺灣新科技50,"1112","1753","641"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,5443均豪,"1110","1110","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3706神達,"1097","1097","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00685L群益臺灣加權正2,"1088","1675","587"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2486一詮,"1088","2283","1195"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,2382廣達,"1041","1386","345"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,7799禾榮科,"1025","1025","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00963中信全球高股息,"1023","1023","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6257矽格,"979","2567","1588"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3044健鼎,"952","1086","134"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,1326台化,"941","1009","68"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,6505台塑化,"933","959","26"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,3491昇達科,"915","915","0"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Buy,00929復華台灣科技優息,"907","967","60"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2303聯電,"-19518","6869","26387"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2449京元電子,"-18352","8485","26837"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,7769鴻勁,"-18340","24","18364"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,8046南電,"-15551","2663","18214"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2409友達,"-11402","9904","21306"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,4958臻鼎-KY,"-10658","3634","14292"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3189景碩,"-9978","1136","11114"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2327國巨*,"-9869","4509","14378"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6770力積電,"-8654","2220","10874"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,00988A主動統一全球創新,"-8357","22","8379"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3324雙鴻,"-8206","7916","16122"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,1709和益,"-7490","398","7888"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3037欣興,"-7270","0","7270"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6515穎崴,"-5291","559","5850"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3711日月光投控,"-4883","5230","10113"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,8210勤誠,"-4513","2","4515"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,7856漢測,"-4500","0","4500"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6446藥華藥,"-4420","1230","5650"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6278台表科,"-4246","234","4480"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3105穩懋,"-4061","5740","9801"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3374精材,"-3639","5692","9331"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6510精測,"-3624","33","3657"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6182合晶,"-3563","1001","4564"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6488環球晶,"-3452","8871","12323"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,0050元大台灣50,"-3270","1653","4923"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,00403A主動統一升級50,"-3256","105","3361"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,4951精拓科,"-2611","110","2721"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6005群益證,"-2477","97","2574"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,009802富邦旗艦50,"-2326","0","2326"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2634漢翔,"-2260","272","2532"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2610華航,"-2229","0","2229"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3211順達,"-1923","1567","3490"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,00830國泰費城半導體,"-1849","875","2724"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,8021尖點,"-1849","1489","3338"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6456GIS-KY,"-1783","308","2091"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6526達發,"-1707","2","1709"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3167大量,"-1690","2583","4273"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2892第一金,"-1640","0","1640"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3035智原,"-1450","0","1450"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2481強茂,"-1391","2593","3984"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,00937B群益ESG投等債20,"-1384","43","1427"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6187萬潤,"-1368","14742","16110"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2317鴻海,"-1360","1340","2700"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6533晶心科,"-1346","534","1880"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,00409A主動復華全球50,"-1342","0","1342"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6274台燿,"-1326","1646","2972"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,3034聯詠,"-1155","0","1155"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,6290良維,"-1123","346","1469"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,5864致和證,"-1100","37","1137"
群益金鼎,9100,群益金鼎-東門,0039003100380044,Sell,2313華通,"-1096","704","1800"
