BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
致和證券,7030,致和-東門,7035,Buy,2330台積電,"2817","2842","25"
致和證券,7030,致和-東門,7035,Buy,3231緯創,"2754","2754","0"
致和證券,7030,致和-東門,7035,Buy,6285啟碁,"2365","2365","0"
致和證券,7030,致和-東門,7035,Buy,2317鴻海,"2262","3526","1264"
致和證券,7030,致和-東門,7035,Buy,4743合一,"1792","1792","0"
致和證券,7030,致和-東門,7035,Buy,6442光聖,"1563","1563","0"
致和證券,7030,致和-東門,7035,Buy,2303聯電,"1417","2591","1174"
致和證券,7030,致和-東門,7035,Buy,6706惠特,"1409","1409","0"
致和證券,7030,致和-東門,7035,Buy,6446藥華藥,"1156","6846","5690"
致和證券,7030,致和-東門,7035,Buy,6584南俊國際,"1108","1108","0"
致和證券,7030,致和-東門,7035,Buy,6141柏承,"1069","1121","52"
致和證券,7030,致和-東門,7035,Buy,2301光寶科,"1008","6998","5990"
致和證券,7030,致和-東門,7035,Buy,00633L富邦上証正2,"977","977","0"
致和證券,7030,致和-東門,7035,Buy,2351順德,"940","1901","961"
致和證券,7030,致和-東門,7035,Buy,3026禾伸堂,"790","790","0"
致和證券,7030,致和-東門,7035,Buy,0056元大高股息,"740","740","0"
致和證券,7030,致和-東門,7035,Buy,00919群益台灣精選高息,"710","710","0"
致和證券,7030,致和-東門,7035,Buy,2308台達電,"700","1900","1200"
致和證券,7030,致和-東門,7035,Buy,2371大同,"621","621","0"
致和證券,7030,致和-東門,7035,Buy,2887台新新光金,"558","558","0"
致和證券,7030,致和-東門,7035,Buy,2455全新,"555","555","0"
致和證券,7030,致和-東門,7035,Buy,6209今國光,"549","549","0"
致和證券,7030,致和-東門,7035,Buy,1303南亞,"544","2642","2098"
致和證券,7030,致和-東門,7035,Buy,00406A主動中信台灣收益,"544","593","49"
致和證券,7030,致和-東門,7035,Buy,8028昇陽半導體,"520","1051","531"
致和證券,7030,致和-東門,7035,Buy,4906正文,"513","513","0"
致和證券,7030,致和-東門,7035,Buy,6291沛亨,"504","504","0"
致和證券,7030,致和-東門,7035,Buy,3714富采,"491","771","280"
致和證券,7030,致和-東門,7035,Buy,2383台光電,"487","487","0"
