BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
元大證券,9800,元大-東泰,9817,Buy,2303聯電,"65353","74260","8907"
元大證券,9800,元大-東泰,9817,Buy,3008大立光,"37758","37814","56"
元大證券,9800,元大-東泰,9817,Buy,2317鴻海,"23874","24683","809"
元大證券,9800,元大-東泰,9817,Buy,2408南亞科,"19676","28217","8541"
元大證券,9800,元大-東泰,9817,Buy,2330台積電,"17316","23603","6287"
元大證券,9800,元大-東泰,9817,Buy,3665貿聯-KY,"13972","14089","117"
元大證券,9800,元大-東泰,9817,Buy,0050元大台灣50,"11920","14563","2643"
元大證券,9800,元大-東泰,9817,Buy,1709和益,"9038","9128","90"
元大證券,9800,元大-東泰,9817,Buy,6231系微,"6307","10494","4187"
元大證券,9800,元大-東泰,9817,Buy,3653健策,"6086","12548","6462"
元大證券,9800,元大-東泰,9817,Buy,6223旺矽,"6029","6314","285"
元大證券,9800,元大-東泰,9817,Buy,2382廣達,"5492","5851","359"
元大證券,9800,元大-東泰,9817,Buy,4958臻鼎-KY,"5136","8952","3816"
元大證券,9800,元大-東泰,9817,Buy,2342茂矽,"4901","6045","1144"
元大證券,9800,元大-東泰,9817,Buy,3406玉晶光,"4498","4775","277"
元大證券,9800,元大-東泰,9817,Buy,6488環球晶,"4239","4247","8"
元大證券,9800,元大-東泰,9817,Buy,6173信昌電,"3666","4936","1270"
元大證券,9800,元大-東泰,9817,Buy,2409友達,"3540","14699","11159"
元大證券,9800,元大-東泰,9817,Buy,6510精測,"3522","3522","0"
元大證券,9800,元大-東泰,9817,Buy,2344華邦電,"3080","8432","5352"
元大證券,9800,元大-東泰,9817,Buy,00919群益台灣精選高息,"2876","2972","96"
元大證券,9800,元大-東泰,9817,Buy,1476儒鴻,"2770","2770","0"
元大證券,9800,元大-東泰,9817,Buy,1708東鹼,"2761","2967","206"
元大證券,9800,元大-東泰,9817,Buy,3363上詮,"2693","2706","13"
元大證券,9800,元大-東泰,9817,Buy,3264欣銓,"2526","3191","665"
元大證券,9800,元大-東泰,9817,Buy,3481群創,"2419","10572","8153"
元大證券,9800,元大-東泰,9817,Buy,7769鴻勁,"2373","2384","11"
元大證券,9800,元大-東泰,9817,Buy,6669緯穎,"2353","2575","222"
元大證券,9800,元大-東泰,9817,Buy,3042晶技,"2344","8388","6044"
元大證券,9800,元大-東泰,9817,Buy,6139亞翔,"2112","2239","127"
