BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2409友達,"11210","15684","4474"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2327國巨*,"7779","10751","2972"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2330台積電,"7088","7795","707"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,4958臻鼎-KY,"6629","6655","26"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2303聯電,"5118","8358","3240"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,6147頎邦,"4676","4676","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2408南亞科,"4588","5584","996"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,6770力積電,"4184","4255","71"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3189景碩,"3693","14534","10841"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2317鴻海,"3246","3288","42"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,0050元大台灣50,"2763","3558","795"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3026禾伸堂,"2443","3238","795"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2351順德,"2405","2405","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,1303南亞,"2323","6135","3812"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,00881國泰台灣科技龍頭,"2258","2625","367"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2308台達電,"2004","2100","96"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3324雙鴻,"1808","3450","1642"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,6173信昌電,"1708","2014","306"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2542興富發,"1564","1564","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2801彰銀,"1453","1453","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3105穩懋,"1435","3057","1622"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2344華邦電,"1366","2896","1530"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,00919群益台灣精選高息,"1359","1359","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3019亞光,"1345","1345","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,8150南茂,"1323","3314","1991"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,1815富喬,"1303","1538","235"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2368金像電,"1228","1228","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2886兆豐金,"1186","1482","296"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3033威健,"1165","1165","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2882國泰金,"1100","1100","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3034聯詠,"1061","1061","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2337旺宏,"1017","1017","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3406玉晶光,"978","978","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3374精材,"914","914","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,7769鴻勁,"893","893","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2481強茂,"870","1583","713"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3706神達,"860","860","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3717聯嘉投控,"820","846","26"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,7749意騰-KY,"799","799","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,3264欣銓,"765","1520","755"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,1709和益,"757","1062","305"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2484希華,"745","818","73"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,2356英業達,"719","719","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,1519華城,"702","702","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,4979華星光,"676","676","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,8111立碁,"674","823","149"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,009816凱基台灣TOP50,"646","646","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,4533協易機,"502","502","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,00918大華優利高填息30,"479","479","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Buy,1536和大,"465","465","0"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,2454聯發科,"-5502","10822","16324"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,2492華新科,"-4025","670","4695"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,2404漢唐,"-2611","1247","3858"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,6672騰輝電子-KY,"-2527","774","3301"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,2313華通,"-2207","8","2215"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,6213聯茂,"-1975","0","1975"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,00991A主動復華未來50,"-1938","1500","3438"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,1301台塑,"-1771","127","1898"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,3533嘉澤,"-1710","0","1710"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,3293鈊象,"-1550","0","1550"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,3563牧德,"-1505","77","1582"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,3037欣興,"-1476","1165","2641"
兆豐證券,7000,兆豐-西螺,0037003000300044,Sell,4939亞電,"-1460","0","1460"
