BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-東港,9212,Buy,5274信驊,"19452","19795","343"
凱基,9200,凱基-東港,9212,Buy,2308台達電,"18773","23081","4308"
凱基,9200,凱基-東港,9212,Buy,2408南亞科,"7876","10874","2998"
凱基,9200,凱基-東港,9212,Buy,00631L元大台灣50正2,"7865","7865","0"
凱基,9200,凱基-東港,9212,Buy,2330台積電,"6548","6630","82"
凱基,9200,凱基-東港,9212,Buy,2317鴻海,"6342","6342","0"
凱基,9200,凱基-東港,9212,Buy,6515穎崴,"6170","6176","6"
凱基,9200,凱基-東港,9212,Buy,7769鴻勁,"5899","5905","6"
凱基,9200,凱基-東港,9212,Buy,2303聯電,"5832","11675","5843"
凱基,9200,凱基-東港,9212,Buy,6770力積電,"4377","4805","428"
凱基,9200,凱基-東港,9212,Buy,2337旺宏,"4242","4358","116"
凱基,9200,凱基-東港,9212,Buy,3711日月光投控,"3392","4141","749"
凱基,9200,凱基-東港,9212,Buy,2312金寶,"3339","3370","31"
凱基,9200,凱基-東港,9212,Buy,6274台燿,"2978","6367","3389"
凱基,9200,凱基-東港,9212,Buy,6488環球晶,"2923","3862","939"
凱基,9200,凱基-東港,9212,Buy,00406A主動中信台灣收益,"2883","3102","219"
凱基,9200,凱基-東港,9212,Buy,8299群聯,"2578","2604","26"
凱基,9200,凱基-東港,9212,Buy,6669緯穎,"2342","2420","78"
凱基,9200,凱基-東港,9212,Buy,4958臻鼎-KY,"1922","4784","2862"
凱基,9200,凱基-東港,9212,Buy,2368金像電,"1820","5141","3321"
凱基,9200,凱基-東港,9212,Buy,8210勤誠,"1788","1788","0"
凱基,9200,凱基-東港,9212,Buy,2344華邦電,"1503","3196","1693"
凱基,9200,凱基-東港,9212,Buy,2395研華,"1455","1455","0"
凱基,9200,凱基-東港,9212,Buy,00918大華優利高填息30,"1381","1381","0"
凱基,9200,凱基-東港,9212,Buy,3264欣銓,"1322","1571","249"
凱基,9200,凱基-東港,9212,Buy,3481群創,"1278","2229","951"
凱基,9200,凱基-東港,9212,Buy,5439高技,"1214","1518","304"
凱基,9200,凱基-東港,9212,Buy,3234光環,"1211","1746","535"
凱基,9200,凱基-東港,9212,Buy,00919群益台灣精選高息,"1199","1326","127"
凱基,9200,凱基-東港,9212,Buy,3260威剛,"1159","1540","381"
凱基,9200,凱基-東港,9212,Buy,5465富驊,"1107","1141","34"
凱基,9200,凱基-東港,9212,Buy,6257矽格,"979","1461","482"
凱基,9200,凱基-東港,9212,Buy,0056元大高股息,"933","933","0"
凱基,9200,凱基-東港,9212,Buy,3532台勝科,"903","1352","449"
凱基,9200,凱基-東港,9212,Buy,3576聯合再生,"775","1085","310"
凱基,9200,凱基-東港,9212,Buy,4979華星光,"736","736","0"
凱基,9200,凱基-東港,9212,Buy,0052富邦科技,"719","719","0"
凱基,9200,凱基-東港,9212,Buy,3019亞光,"679","679","0"
凱基,9200,凱基-東港,9212,Buy,6456GIS-KY,"647","725","78"
凱基,9200,凱基-東港,9212,Buy,1709和益,"611","700","89"
凱基,9200,凱基-東港,9212,Buy,3675德微,"593","660","67"
凱基,9200,凱基-東港,9212,Buy,3374精材,"583","1082","499"
凱基,9200,凱基-東港,9212,Buy,3605宏致,"538","1824","1286"
凱基,9200,凱基-東港,9212,Buy,6223旺矽,"524","524","0"
凱基,9200,凱基-東港,9212,Buy,8039台虹,"516","775","259"
凱基,9200,凱基-東港,9212,Buy,5347世界,"511","511","0"
凱基,9200,凱基-東港,9212,Buy,00685L群益臺灣加權正2,"511","511","0"
凱基,9200,凱基-東港,9212,Buy,6831邁科,"498","498","0"
凱基,9200,凱基-東港,9212,Buy,3665貿聯-KY,"497","499","2"
凱基,9200,凱基-東港,9212,Buy,2486一詮,"489","489","0"
凱基,9200,凱基-東港,9212,Sell,3661世芯-KY,"-7335","195","7530"
凱基,9200,凱基-東港,9212,Sell,00881國泰台灣科技龍頭,"-5897","13","5910"
凱基,9200,凱基-東港,9212,Sell,3189景碩,"-5173","9527","14700"
凱基,9200,凱基-東港,9212,Sell,3324雙鴻,"-5169","3353","8522"
凱基,9200,凱基-東港,9212,Sell,6182合晶,"-4378","2417","6795"
凱基,9200,凱基-東港,9212,Sell,1303南亞,"-4171","3717","7888"
凱基,9200,凱基-東港,9212,Sell,6139亞翔,"-3675","75","3750"
凱基,9200,凱基-東港,9212,Sell,8028昇陽半導體,"-3223","13","3236"
凱基,9200,凱基-東港,9212,Sell,3293鈊象,"-3017","14","3031"
凱基,9200,凱基-東港,9212,Sell,6207雷科,"-3000","354","3354"
凱基,9200,凱基-東港,9212,Sell,3081聯亞,"-2581","61","2642"
凱基,9200,凱基-東港,9212,Sell,8046南電,"-2182","4935","7117"
凱基,9200,凱基-東港,9212,Sell,2345智邦,"-2118","1865","3983"
凱基,9200,凱基-東港,9212,Sell,00981B第一金優選非投債,"-2075","0","2075"
凱基,9200,凱基-東港,9212,Sell,2412中華電,"-1746","0","1746"
凱基,9200,凱基-東港,9212,Sell,00403A主動統一升級50,"-1655","22","1677"
凱基,9200,凱基-東港,9212,Sell,6197佳必琪,"-1279","0","1279"
凱基,9200,凱基-東港,9212,Sell,00981A主動統一台股增長,"-1263","6349","7612"
凱基,9200,凱基-東港,9212,Sell,6285啟碁,"-1228","0","1228"
凱基,9200,凱基-東港,9212,Sell,2327國巨*,"-1195","1903","3098"
凱基,9200,凱基-東港,9212,Sell,2889國票金,"-1074","33","1107"
凱基,9200,凱基-東港,9212,Sell,00888永豐台灣ESG,"-1072","4","1076"
凱基,9200,凱基-東港,9212,Sell,6209今國光,"-1030","0","1030"
凱基,9200,凱基-東港,9212,Sell,2010春源,"-961","0","961"
凱基,9200,凱基-東港,9212,Sell,00991A主動復華未來50,"-903","0","903"
凱基,9200,凱基-東港,9212,Sell,5351鈺創,"-847","541","1388"
凱基,9200,凱基-東港,9212,Sell,8150南茂,"-847","2330","3177"
凱基,9200,凱基-東港,9212,Sell,6191精成科,"-823","0","823"
凱基,9200,凱基-東港,9212,Sell,00947台新臺灣IC設計,"-735","85","820"
凱基,9200,凱基-東港,9212,Sell,2812台中銀,"-724","190","914"
凱基,9200,凱基-東港,9212,Sell,009828中信台日韓PCB,"-720","80","800"
凱基,9200,凱基-東港,9212,Sell,2388威盛,"-696","1127","1823"
凱基,9200,凱基-東港,9212,Sell,6239力成,"-584","47","631"
凱基,9200,凱基-東港,9212,Sell,8064東捷,"-569","691","1260"
凱基,9200,凱基-東港,9212,Sell,00632R元大台灣50反1,"-523","0","523"
凱基,9200,凱基-東港,9212,Sell,00904台新臺灣半導體30,"-519","0","519"
凱基,9200,凱基-東港,9212,Sell,00407A主動凱基台灣,"-518","51","569"
凱基,9200,凱基-東港,9212,Sell,1802台玻,"-518","0","518"
凱基,9200,凱基-東港,9212,Sell,3016嘉晶,"-509","1062","1571"
凱基,9200,凱基-東港,9212,Sell,00400A主動國泰動能高息,"-469","0","469"
凱基,9200,凱基-東港,9212,Sell,00992A主動群益科技創新,"-469","0","469"
凱基,9200,凱基-東港,9212,Sell,2492華新科,"-458","1585","2043"
凱基,9200,凱基-東港,9212,Sell,6789采鈺,"-458","2","460"
凱基,9200,凱基-東港,9212,Sell,6672騰輝電子-KY,"-405","668","1073"
凱基,9200,凱基-東港,9212,Sell,3231緯創,"-394","426","820"
凱基,9200,凱基-東港,9212,Sell,2404漢唐,"-363","3","366"
凱基,9200,凱基-東港,9212,Sell,2376技嘉,"-362","0","362"
凱基,9200,凱基-東港,9212,Sell,3317尼克森,"-352","876","1228"
凱基,9200,凱基-東港,9212,Sell,8155博智,"-336","336","672"
凱基,9200,凱基-東港,9212,Sell,2481強茂,"-333","905","1238"
