BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
凱基,9200,凱基-鳳山,9274,Buy,2303聯電,"16502","25795","9293"
凱基,9200,凱基-鳳山,9274,Buy,6173信昌電,"10153","12101","1948"
凱基,9200,凱基-鳳山,9274,Buy,7769鴻勁,"8826","8942","116"
凱基,9200,凱基-鳳山,9274,Buy,3042晶技,"8566","13015","4449"
凱基,9200,凱基-鳳山,9274,Buy,2317鴻海,"7034","7951","917"
凱基,9200,凱基-鳳山,9274,Buy,3374精材,"6083","10224","4141"
凱基,9200,凱基-鳳山,9274,Buy,2408南亞科,"6039","8758","2719"
凱基,9200,凱基-鳳山,9274,Buy,2368金像電,"5950","9390","3440"
凱基,9200,凱基-鳳山,9274,Buy,6488環球晶,"5048","6488","1440"
凱基,9200,凱基-鳳山,9274,Buy,6016康和證,"4720","4720","0"
凱基,9200,凱基-鳳山,9274,Buy,8299群聯,"4378","4454","76"
凱基,9200,凱基-鳳山,9274,Buy,2330台積電,"4281","4561","280"
凱基,9200,凱基-鳳山,9274,Buy,6257矽格,"4044","5559","1515"
凱基,9200,凱基-鳳山,9274,Buy,3661世芯-KY,"3993","3993","0"
凱基,9200,凱基-鳳山,9274,Buy,00406A主動中信台灣收益,"3898","4473","575"
凱基,9200,凱基-鳳山,9274,Buy,2489瑞軒,"3804","4716","912"
凱基,9200,凱基-鳳山,9274,Buy,6933AMAX-KY,"3625","16860","13235"
凱基,9200,凱基-鳳山,9274,Buy,2344華邦電,"2831","5718","2887"
凱基,9200,凱基-鳳山,9274,Buy,8996高力,"2791","6005","3214"
凱基,9200,凱基-鳳山,9274,Buy,2481強茂,"2554","3735","1181"
凱基,9200,凱基-鳳山,9274,Buy,0050元大台灣50,"2496","4909","2413"
凱基,9200,凱基-鳳山,9274,Buy,3665貿聯-KY,"2432","2444","12"
凱基,9200,凱基-鳳山,9274,Buy,2409友達,"2275","10323","8048"
凱基,9200,凱基-鳳山,9274,Buy,4958臻鼎-KY,"2216","3786","1570"
凱基,9200,凱基-鳳山,9274,Buy,3034聯詠,"2205","2205","0"
凱基,9200,凱基-鳳山,9274,Buy,2351順德,"2193","2412","219"
凱基,9200,凱基-鳳山,9274,Buy,2449京元電子,"2159","3494","1335"
凱基,9200,凱基-鳳山,9274,Buy,4919新唐,"2158","2567","409"
凱基,9200,凱基-鳳山,9274,Buy,6739竹陞科技,"2120","2120","0"
凱基,9200,凱基-鳳山,9274,Buy,3450聯鈞,"2119","2638","519"
凱基,9200,凱基-鳳山,9274,Buy,00631L元大台灣50正2,"2096","2387","291"
凱基,9200,凱基-鳳山,9274,Buy,00919群益台灣精選高息,"2056","2247","191"
凱基,9200,凱基-鳳山,9274,Buy,3260威剛,"2002","2753","751"
凱基,9200,凱基-鳳山,9274,Buy,6538倉和,"1987","2390","403"
凱基,9200,凱基-鳳山,9274,Buy,3715定穎投控,"1978","2101","123"
凱基,9200,凱基-鳳山,9274,Buy,6770力積電,"1755","4986","3231"
凱基,9200,凱基-鳳山,9274,Buy,00675L富邦臺灣加權正2,"1690","1690","0"
凱基,9200,凱基-鳳山,9274,Buy,00878國泰永續高股息,"1672","1672","0"
凱基,9200,凱基-鳳山,9274,Buy,00685L群益臺灣加權正2,"1450","1835","385"
凱基,9200,凱基-鳳山,9274,Buy,3265台星科,"1440","1440","0"
凱基,9200,凱基-鳳山,9274,Buy,2379瑞昱,"1430","3678","2248"
凱基,9200,凱基-鳳山,9274,Buy,0056元大高股息,"1363","1419","56"
凱基,9200,凱基-鳳山,9274,Buy,1815富喬,"1282","1745","463"
凱基,9200,凱基-鳳山,9274,Buy,1709和益,"1279","1899","620"
凱基,9200,凱基-鳳山,9274,Buy,3481群創,"1264","3052","1788"
凱基,9200,凱基-鳳山,9274,Buy,2302麗正,"1081","1601","520"
凱基,9200,凱基-鳳山,9274,Buy,6005群益證,"1026","1026","0"
凱基,9200,凱基-鳳山,9274,Buy,1727中華化,"978","17972","16994"
凱基,9200,凱基-鳳山,9274,Buy,00712復華富時不動產,"975","975","0"
凱基,9200,凱基-鳳山,9274,Buy,3363上詮,"965","965","0"
凱基,9200,凱基-鳳山,9274,Sell,3017奇鋐,"-11257","7074","18331"
凱基,9200,凱基-鳳山,9274,Sell,3189景碩,"-11252","20790","32042"
凱基,9200,凱基-鳳山,9274,Sell,3324雙鴻,"-10280","10589","20869"
凱基,9200,凱基-鳳山,9274,Sell,2301光寶科,"-9447","3669","13116"
凱基,9200,凱基-鳳山,9274,Sell,3443創意,"-8593","0","8593"
凱基,9200,凱基-鳳山,9274,Sell,2454聯發科,"-8433","10939","19372"
凱基,9200,凱基-鳳山,9274,Sell,6182合晶,"-8137","6071","14208"
凱基,9200,凱基-鳳山,9274,Sell,2327國巨*,"-7275","11661","18936"
凱基,9200,凱基-鳳山,9274,Sell,3026禾伸堂,"-6659","8055","14714"
凱基,9200,凱基-鳳山,9274,Sell,8046南電,"-6553","57661","64214"
凱基,9200,凱基-鳳山,9274,Sell,3008大立光,"-6203","173","6376"
凱基,9200,凱基-鳳山,9274,Sell,2464盟立,"-4699","707","5406"
凱基,9200,凱基-鳳山,9274,Sell,6168宏齊,"-4330","874","5204"
凱基,9200,凱基-鳳山,9274,Sell,00981A主動統一台股增長,"-3675","623","4298"
凱基,9200,凱基-鳳山,9274,Sell,3533嘉澤,"-3401","17","3418"
凱基,9200,凱基-鳳山,9274,Sell,3035智原,"-3351","217","3568"
凱基,9200,凱基-鳳山,9274,Sell,1303南亞,"-2877","2794","5671"
凱基,9200,凱基-鳳山,9274,Sell,6213聯茂,"-2451","595","3046"
凱基,9200,凱基-鳳山,9274,Sell,6226光鼎,"-2323","1473","3796"
凱基,9200,凱基-鳳山,9274,Sell,4770上品,"-2315","557","2872"
凱基,9200,凱基-鳳山,9274,Sell,6207雷科,"-2241","117","2358"
凱基,9200,凱基-鳳山,9274,Sell,6672騰輝電子-KY,"-2062","336","2398"
凱基,9200,凱基-鳳山,9274,Sell,2030彰源,"-1918","0","1918"
凱基,9200,凱基-鳳山,9274,Sell,6274台燿,"-1882","7515","9397"
凱基,9200,凱基-鳳山,9274,Sell,00632R元大台灣50反1,"-1762","333","2095"
凱基,9200,凱基-鳳山,9274,Sell,1301台塑,"-1554","0","1554"
凱基,9200,凱基-鳳山,9274,Sell,00403A主動統一升級50,"-1550","54","1604"
凱基,9200,凱基-鳳山,9274,Sell,2492華新科,"-1542","1902","3444"
凱基,9200,凱基-鳳山,9274,Sell,00407A主動凱基台灣,"-1525","0","1525"
凱基,9200,凱基-鳳山,9274,Sell,8027鈦昇,"-1484","0","1484"
凱基,9200,凱基-鳳山,9274,Sell,00927群益半導體收益,"-1457","127","1584"
凱基,9200,凱基-鳳山,9274,Sell,3167大量,"-1421","1891","3312"
凱基,9200,凱基-鳳山,9274,Sell,3105穩懋,"-1312","3802","5114"
凱基,9200,凱基-鳳山,9274,Sell,00997A主動群益美國增長,"-1282","0","1282"
凱基,9200,凱基-鳳山,9274,Sell,3016嘉晶,"-1278","1121","2399"
凱基,9200,凱基-鳳山,9274,Sell,8358金居,"-1083","16682","17765"
凱基,9200,凱基-鳳山,9274,Sell,3441聯一光,"-1078","898","1976"
凱基,9200,凱基-鳳山,9274,Sell,6727亞泰金屬,"-1003","987","1990"
凱基,9200,凱基-鳳山,9274,Sell,7792安葆,"-987","4755","5742"
凱基,9200,凱基-鳳山,9274,Sell,3702大聯大,"-939","0","939"
凱基,9200,凱基-鳳山,9274,Sell,2337旺宏,"-884","623","1507"
凱基,9200,凱基-鳳山,9274,Sell,3529力旺,"-883","3292","4175"
