BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
康和,8450,康和-台北,0038003400350055,Buy,2059川湖,"42111","54591","12480"
康和,8450,康和-台北,0038003400350055,Buy,2454聯發科,"16033","27807","11774"
康和,8450,康和-台北,0038003400350055,Buy,2303聯電,"12089","13494","1405"
康和,8450,康和-台北,0038003400350055,Buy,2330台積電,"9177","14303","5126"
康和,8450,康和-台北,0038003400350055,Buy,8299群聯,"6711","6732","21"
康和,8450,康和-台北,0038003400350055,Buy,3653健策,"6710","6710","0"
康和,8450,康和-台北,0038003400350055,Buy,3081聯亞,"5287","5423","136"
康和,8450,康和-台北,0038003400350055,Buy,3661世芯-KY,"3844","3844","0"
康和,8450,康和-台北,0038003400350055,Buy,00631L元大台灣50正2,"3414","3569","155"
康和,8450,康和-台北,0038003400350055,Buy,2368金像電,"3237","3453","216"
康和,8450,康和-台北,0038003400350055,Buy,5347世界,"3234","3405","171"
康和,8450,康和-台北,0038003400350055,Buy,7827漢康-KY創,"3206","3206","0"
康和,8450,康和-台北,0038003400350055,Buy,2408南亞科,"2636","5141","2505"
康和,8450,康和-台北,0038003400350055,Buy,6770力積電,"2396","3116","720"
康和,8450,康和-台北,0038003400350055,Buy,4958臻鼎-KY,"2394","2394","0"
康和,8450,康和-台北,0038003400350055,Buy,2327國巨*,"2348","3003","655"
康和,8450,康和-台北,0038003400350055,Buy,3665貿聯-KY,"2305","4657","2352"
康和,8450,康和-台北,0038003400350055,Buy,6669緯穎,"2255","2270","15"
康和,8450,康和-台北,0038003400350055,Buy,2481強茂,"2101","2452","351"
康和,8450,康和-台北,0038003400350055,Buy,3005神基,"1974","2208","234"
康和,8450,康和-台北,0038003400350055,Buy,6415矽力*-KY,"1700","1700","0"
康和,8450,康和-台北,0038003400350055,Buy,6257矽格,"1677","1677","0"
康和,8450,康和-台北,0038003400350055,Buy,3374精材,"1661","48540","46879"
康和,8450,康和-台北,0038003400350055,Buy,6526達發,"1646","1646","0"
康和,8450,康和-台北,0038003400350055,Buy,3450聯鈞,"1553","2067","514"
康和,8450,康和-台北,0038003400350055,Buy,6683雍智科技,"1535","3075","1540"
康和,8450,康和-台北,0038003400350055,Buy,7751竑騰,"1468","1491","23"
康和,8450,康和-台北,0038003400350055,Buy,1303南亞,"1407","3992","2585"
康和,8450,康和-台北,0038003400350055,Buy,2371大同,"1404","1462","58"
康和,8450,康和-台北,0038003400350055,Buy,3264欣銓,"1401","1493","92"
康和,8450,康和-台北,0038003400350055,Buy,2344華邦電,"1401","1570","169"
康和,8450,康和-台北,0038003400350055,Buy,2409友達,"1386","3028","1642"
康和,8450,康和-台北,0038003400350055,Buy,2317鴻海,"1322","1573","251"
康和,8450,康和-台北,0038003400350055,Buy,8046南電,"1282","3758","2476"
康和,8450,康和-台北,0038003400350055,Buy,6446藥華藥,"1165","1165","0"
康和,8450,康和-台北,0038003400350055,Buy,6274台燿,"1080","4057","2977"
康和,8450,康和-台北,0038003400350055,Buy,6147頎邦,"1072","1284","212"
康和,8450,康和-台北,0038003400350055,Buy,3026禾伸堂,"1060","1868","808"
康和,8450,康和-台北,0038003400350055,Buy,3034聯詠,"1056","1056","0"
康和,8450,康和-台北,0038003400350055,Buy,3624光頡,"1028","2270","1242"
康和,8450,康和-台北,0038003400350055,Buy,1815富喬,"827","943","116"
康和,8450,康和-台北,0038003400350055,Buy,6426統新,"774","774","0"
康和,8450,康和-台北,0038003400350055,Buy,3211順達,"750","752","2"
康和,8450,康和-台北,0038003400350055,Buy,3037欣興,"745","4650","3905"
康和,8450,康和-台北,0038003400350055,Buy,2337旺宏,"697","814","117"
康和,8450,康和-台北,0038003400350055,Buy,6515穎崴,"686","722","36"
康和,8450,康和-台北,0038003400350055,Buy,00715L期街口布蘭特正2,"645","645","0"
康和,8450,康和-台北,0038003400350055,Buy,2492華新科,"621","621","0"
康和,8450,康和-台北,0038003400350055,Buy,7769鴻勁,"602","642","40"
康和,8450,康和-台北,0038003400350055,Buy,3260威剛,"599","863","264"
