BrokerName,BrokerID,BranchName,BranchID,Type,StockName,Amount,BuyAmount,SellAmount
華南永昌,9300,華南永昌-岡山,9324,Buy,2303聯電,"17782","19699","1917"
華南永昌,9300,華南永昌-岡山,9324,Buy,8299群聯,"12884","15451","2567"
華南永昌,9300,華南永昌-岡山,9324,Buy,2409友達,"11234","19881","8647"
華南永昌,9300,華南永昌-岡山,9324,Buy,2408南亞科,"10276","17271","6995"
華南永昌,9300,華南永昌-岡山,9324,Buy,2368金像電,"8732","13178","4446"
華南永昌,9300,華南永昌-岡山,9324,Buy,2330台積電,"8481","16125","7644"
華南永昌,9300,華南永昌-岡山,9324,Buy,2449京元電子,"7255","10778","3523"
華南永昌,9300,華南永昌-岡山,9324,Buy,00637L元大滬深300正2,"6181","6181","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,1605華新,"6115","6115","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,8046南電,"5840","14732","8892"
華南永昌,9300,華南永昌-岡山,9324,Buy,3260威剛,"5348","5348","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,2317鴻海,"5187","5964","777"
華南永昌,9300,華南永昌-岡山,9324,Buy,3481群創,"4882","8741","3859"
華南永昌,9300,華南永昌-岡山,9324,Buy,3714富采,"4540","7867","3327"
華南永昌,9300,華南永昌-岡山,9324,Buy,2344華邦電,"4389","7692","3303"
華南永昌,9300,華南永昌-岡山,9324,Buy,6770力積電,"3822","5528","1706"
華南永昌,9300,華南永昌-岡山,9324,Buy,4958臻鼎-KY,"3749","9458","5709"
華南永昌,9300,華南永昌-岡山,9324,Buy,2002中鋼,"3021","3040","19"
華南永昌,9300,華南永昌-岡山,9324,Buy,7769鴻勁,"2568","2568","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,3374精材,"2426","2430","4"
華南永昌,9300,華南永昌-岡山,9324,Buy,3339泰谷,"2422","2422","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,00919群益台灣精選高息,"2232","2582","350"
華南永昌,9300,華南永昌-岡山,9324,Buy,4908前鼎,"2068","2284","216"
華南永昌,9300,華南永昌-岡山,9324,Buy,6426統新,"1999","2386","387"
華南永昌,9300,華南永昌-岡山,9324,Buy,3624光頡,"1940","5068","3128"
華南永昌,9300,華南永昌-岡山,9324,Buy,3006晶豪科,"1918","1918","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,6526達發,"1905","2843","938"
華南永昌,9300,華南永昌-岡山,9324,Buy,2324仁寶,"1876","2131","255"
華南永昌,9300,華南永昌-岡山,9324,Buy,3264欣銓,"1856","2104","248"
華南永昌,9300,華南永昌-岡山,9324,Buy,2454聯發科,"1813","403661","401848"
華南永昌,9300,華南永昌-岡山,9324,Buy,8210勤誠,"1810","1810","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,7822倍利科,"1806","1806","0"
華南永昌,9300,華南永昌-岡山,9324,Buy,5536聖暉*,"1800","1804","4"
