排行,權證標的代號,權證標的名稱,發行檔數
1,2408,南亞科,74
2,2330,台積電,72
3,2344,華邦電,71
4,3017,奇鋐,69
5,1303,南亞,65
6,2301,光寶科,54
7,IX0001,臺股指數,52
8,3008,大立光,49
9,6770,力積電,48
10,2337,旺宏,45
11,2368,金像電,45
12,6669,緯穎,45
13,6805,富世達,43
14,3231,緯創,42
15,2317,鴻海,40
16,2327,國巨*,38
17,3665,貿聯-KY,38
18,6239,力成,38
19,2359,所羅門,37
20,2303,聯電,36
21,4958,臻鼎-KY,36
22,2049,上銀,35
23,2313,華通,34
24,3711,日月光投控,33
25,3481,群創,29
26,3006,晶豪科,28
27,8210,勤誠,28
28,0050,元大台灣50,27
29,3583,辛耘,27
30,6415,矽力*-KY,27
31,6442,光聖,26
32,3016,嘉晶,25
33,2376,技嘉,24
34,2449,京元電子,24
35,2493,揚博,24
36,2345,智邦,22
37,2357,華碩,22
38,2464,盟立,22
39,2481,強茂,22
40,3042,晶技,22
41,2603,長榮,21
42,8112,至上,21
43,6139,亞翔,20
44,2395,研華,19
45,3533,嘉澤,19
46,2324,仁寶,18
47,2377,微星,18
48,3036,文曄,18
49,3044,健鼎,18
50,3605,宏致,18
51,7788,松川精密,18
52,2478,大毅,17
53,6672,騰輝電子-KY,17
54,00631L,元大台灣50正2,16
55,2615,萬海,16
56,6414,樺漢,16
57,6830,汎銓,16
58,00981A,主動統一台股增長,15
59,6206,飛捷,15
60,6781,AES-KY,15
61,2354,鴻準,14
62,2409,友達,14
63,6196,帆宣,14
64,2316,楠梓電,13
65,2451,創見,13
66,2363,矽統,12
67,3033,威健,12
68,3715,定穎投控,12
69,6472,保瑞,12
70,6834,天二科技,12
71,1590,亞德客-KY,11
72,4722,國精化,11
73,1714,和桐,10
74,1802,台玻,10
75,2421,建準,10
76,2441,超豐,10
77,3702,大聯大,10
78,4938,和碩,10
79,00632R,元大台灣50反1,9
80,00738U,元大道瓊白銀,9
81,1519,華城,9
82,2356,英業達,9
83,2634,漢翔,9
84,3406,玉晶光,9
85,4576,大銀微系統,9
86,6166,凌華,9
87,6269,台郡,9
88,00685L,群益臺灣加權正2,8
89,00708L,元大S&P黃金正2,8
90,2027,大成鋼,8
91,2467,志聖,8
92,2609,陽明,8
93,3022,威強電,8
94,3035,智原,8
95,3563,牧德,8
96,4967,十銓,8
97,6257,矽格,8
98,6409,旭隼,8
99,6505,台塑化,8
100,6944,兆聯實業,8
101,7750,新代,8
102,9921,巨大,8
103,1605,華新,7
104,2404,漢唐,7
105,2436,偉詮電,7
106,3019,亞光,7
107,3034,聯詠,7
108,3704,合勤控,7
109,6197,佳必琪,7
110,6214,精誠,7
111,6271,同欣電,7
112,8271,宇瞻,7
