券商買賣股票成交價量資訊
股票代碼,="2408"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,353.50,7744,8129,,2,1020合　　庫,354.00,2265,17657 
3,1020合　　庫,354.50,1130,27000,,4,1020合　　庫,355.00,3522,1000 
5,1020合　　庫,355.50,0,1000,,6,1020合　　庫,356.00,3000,100 
7,1020合　　庫,357.00,600,0,,8,1020合　　庫,357.50,1100,0 
9,1020合　　庫,358.00,1000,0,,10,1020合　　庫,358.50,503,1000 
11,1020合　　庫,359.50,1100,0,,12,1020合　　庫,360.00,2000,1000 
13,1020合　　庫,360.50,1000,0,,14,1020合　　庫,361.00,5000,0 
15,1020合　　庫,361.50,3000,0,,16,1020合　　庫,363.00,2000,1000 
17,1020合　　庫,366.00,3000,0,,18,1020合　　庫,367.00,0,1000 
19,1020合　　庫,370.00,2000,0,,20,1020合　　庫,371.00,2000,0 
21,1020合　　庫,371.50,1000,0,,22,1020合　　庫,372.00,2000,0 
23,1020合　　庫,373.00,1000,0,,24,1020合　　庫,374.50,1000,0 
25,1020合　　庫,378.00,1000,0,,26,1021合庫台中,353.50,20175,250 
27,1021合庫台中,354.00,4420,11837,,28,1021合庫台中,354.50,9301,2180 
29,1021合庫台中,355.00,1300,2000,,30,1021合庫台中,355.50,1050,2000 
31,1021合庫台中,356.00,2070,6000,,32,1021合庫台中,357.00,200,5000 
33,1021合庫台中,358.00,4000,4016,,34,1021合庫台中,358.50,500,600 
35,1021合庫台中,359.00,4000,0,,36,1021合庫台中,359.50,100,0 
37,1021合庫台中,360.00,4000,3000,,38,1021合庫台中,360.50,3000,0 
39,1021合庫台中,362.00,0,2000,,40,1021合庫台中,362.50,5100,0 
41,1021合庫台中,363.00,2000,0,,42,1021合庫台中,364.00,100,0 
43,1021合庫台中,365.50,1000,0,,44,1021合庫台中,366.00,1000,5000 
45,1021合庫台中,366.50,0,1000,,46,1021合庫台中,367.00,1000,1000 
47,1021合庫台中,367.50,1000,0,,48,1021合庫台中,368.50,1000,0 
49,1021合庫台中,369.50,1000,1000,,50,1021合庫台中,370.00,1000,0 
51,1021合庫台中,370.50,2000,1000,,52,1021合庫台中,371.00,2000,1000 
53,1021合庫台中,371.50,1000,0,,54,1021合庫台中,372.00,0,1000 
55,1021合庫台中,372.50,2000,0,,56,1021合庫台中,373.00,1000,0 
57,1021合庫台中,377.50,1000,0,,58,1021合庫台中,378.00,3000,5000 
59,1022合庫台南,353.50,8165,400,,60,1022合庫台南,354.00,2180,2150 
61,1022合庫台南,354.50,150,2000,,62,1022合庫台南,356.00,1000,1000 
63,1022合庫台南,357.50,1000,1000,,64,1022合庫台南,358.00,1000,0 
65,1022合庫台南,359.00,10,0,,66,1022合庫台南,359.50,100,0 
67,1022合庫台南,360.00,1000,1000,,68,1022合庫台南,360.50,1000,0 
69,1022合庫台南,361.00,20,0,,70,1022合庫台南,362.00,0,1000 
71,1022合庫台南,362.50,0,1000,,72,1022合庫台南,366.50,0,2000 
73,1022合庫台南,369.50,1000,0,,74,1022合庫台南,370.50,1000,0 
75,1022合庫台南,371.50,0,1000,,76,1023合庫高雄,353.50,20421,65 
77,1023合庫高雄,354.00,140,2450,,78,1023合庫高雄,354.50,65,10090 
79,1023合庫高雄,355.00,2100,92000,,80,1023合庫高雄,355.50,100,1000 
81,1023合庫高雄,356.00,1000,1000,,82,1023合庫高雄,357.50,0,6000 
83,1023合庫高雄,358.00,4000,1000,,84,1023合庫高雄,358.50,2400,2000 
85,1023合庫高雄,359.50,11,0,,86,1023合庫高雄,360.00,1000,0 
87,1023合庫高雄,362.00,0,2000,,88,1023合庫高雄,362.50,1000,0 
89,1023合庫高雄,366.50,1000,0,,90,1023合庫高雄,367.00,1000,0 
91,1023合庫高雄,367.50,2000,0,,92,1023合庫高雄,370.00,2000,0 
93,1023合庫高雄,370.50,1000,2000,,94,1023合庫高雄,372.00,2000,0 
95,1023合庫高雄,372.50,1000,0,,96,1023合庫高雄,373.00,5000,0 
97,1024合庫嘉義,353.50,6514,2080,,98,1024合庫嘉義,354.00,300,1500 
99,1024合庫嘉義,354.50,2005,0,,100,1024合庫嘉義,355.50,100,0 
101,1024合庫嘉義,356.00,1000,100,,102,1024合庫嘉義,358.00,2000,0 
103,1024合庫嘉義,358.50,3100,1000,,104,1024合庫嘉義,361.50,100,0 
105,1024合庫嘉義,363.00,1000,0,,106,1024合庫嘉義,367.00,1000,0 
107,1024合庫嘉義,368.00,1000,0,,108,1024合庫嘉義,369.50,1000,0 
109,1024合庫嘉義,371.00,1000,0,,110,1024合庫嘉義,371.50,1000,0 
111,1024合庫嘉義,372.00,1000,0,,112,1024合庫嘉義,372.50,1000,0 
113,1024合庫嘉義,374.50,0,1000,,114,1024合庫嘉義,378.00,4000,0 
115,1025合庫基隆,353.50,3475,1000,,116,1025合庫基隆,354.00,2000,20210 
117,1025合庫基隆,354.50,1315,6000,,118,1025合庫基隆,355.00,1000,300 
119,1025合庫基隆,358.50,100,31000,,120,1025合庫基隆,361.50,41,0 
121,1025合庫基隆,368.00,1000,0,,122,1025合庫基隆,370.50,1000,0 
123,1025合庫基隆,377.00,1000,0,,124,1028合庫彰化,353.50,4441,2410 
125,1028合庫彰化,354.00,2204,30,,126,1028合庫彰化,354.50,1100,3300 
127,1028合庫彰化,355.00,0,100,,128,1028合庫彰化,355.50,0,30 
129,1028合庫彰化,356.00,50,0,,130,1028合庫彰化,356.50,1000,0 
131,1028合庫彰化,357.00,300,0,,132,1028合庫彰化,357.50,1020,0 
133,1028合庫彰化,358.50,130,0,,134,1028合庫彰化,359.00,2000,0 
135,1028合庫彰化,360.00,90,0,,136,1028合庫彰化,360.50,8,0 
137,1028合庫彰化,361.50,6000,0,,138,1028合庫彰化,362.00,1000,0 
139,1028合庫彰化,363.00,5000,0,,140,1028合庫彰化,370.00,3000,0 
141,1028合庫彰化,370.50,1000,0,,142,1028合庫彰化,378.00,2000,0 
143,1029合庫鳳山,353.50,7844,190,,144,1029合庫鳳山,354.00,1160,0 
145,1029合庫鳳山,354.50,10,1000,,146,1029合庫鳳山,355.00,1200,1000 
147,1029合庫鳳山,355.50,160,0,,148,1029合庫鳳山,356.00,10,0 
149,1029合庫鳳山,357.00,300,1000,,150,1029合庫鳳山,358.50,50,0 
151,1029合庫鳳山,363.00,1000,0,,152,1029合庫鳳山,367.00,1000,0 
153,1029合庫鳳山,370.00,3000,0,,154,1029合庫鳳山,371.00,0,1000 
155,1029合庫鳳山,372.00,2000,0,,156,1029合庫鳳山,373.00,1000,0 
157,1029合庫鳳山,374.00,0,1000,,158,102A合庫新竹,353.50,46410,1050 
159,102A合庫新竹,354.00,1260,1150,,160,102A合庫新竹,354.50,0,500 
161,102A合庫新竹,355.00,6050,1000,,162,102A合庫新竹,355.50,100,80 
163,102A合庫新竹,356.00,0,150,,164,102A合庫新竹,357.00,1000,0 
165,102A合庫新竹,357.50,100,0,,166,102A合庫新竹,358.00,1000,0 
167,102A合庫新竹,358.50,350,0,,168,102A合庫新竹,359.00,29,0 
169,102A合庫新竹,363.50,11,0,,170,102A合庫新竹,371.50,1000,0 
171,102A合庫新竹,378.00,1000,0,,172,102C合庫自強,353.50,6585,2145 
173,102C合庫自強,354.00,535,2100,,174,102C合庫自強,354.50,10,1000 
175,102C合庫自強,355.00,150,21100,,176,102C合庫自強,355.50,3,0 
177,102C合庫自強,357.00,1020,0,,178,102C合庫自強,357.50,1000,0 
179,102C合庫自強,358.00,2000,1000,,180,102C合庫自強,358.50,55,0 
181,102C合庫自強,359.50,50,0,,182,102C合庫自強,361.00,1000,0 
183,102C合庫自強,363.00,1000,0,,184,102C合庫自強,368.50,1000,0 
185,102C合庫自強,370.00,2000,0,,186,102C合庫自強,372.00,2000,0 
187,102C合庫自強,373.50,0,1000,,188,102C合庫自強,376.50,1000,0 
189,102C合庫自強,378.00,5000,0,,190,102E合庫桃園,353.50,18441,6449 
191,102E合庫桃園,354.00,13142,44120,,192,102E合庫桃園,354.50,2000,42000 
193,102E合庫桃園,355.00,7200,1000,,194,102E合庫桃園,355.50,3062,100 
195,102E合庫桃園,356.00,100,0,,196,102E合庫桃園,357.00,1200,0 
197,102E合庫桃園,357.50,3000,0,,198,102E合庫桃園,358.00,0,2000 
199,102E合庫桃園,358.50,4210,0,,200,102E合庫桃園,360.00,20,0 
201,102E合庫桃園,360.50,3000,0,,202,102E合庫桃園,361.00,200,0 
203,102E合庫桃園,362.00,1000,1000,,204,102E合庫桃園,362.50,100,0 
205,102E合庫桃園,363.50,1000,0,,206,102E合庫桃園,366.00,1000,0 
207,102E合庫桃園,366.50,1000,0,,208,102E合庫桃園,369.00,1000,0 
209,102E合庫桃園,370.00,2000,0,,210,102E合庫桃園,370.50,0,1000 
211,102E合庫桃園,371.00,1000,0,,212,102E合庫桃園,371.50,0,2000 
213,102E合庫桃園,372.00,20000,0,,214,102E合庫桃園,372.50,2000,0 
215,102E合庫桃園,373.00,2000,1000,,216,102F合庫西台,353.50,7425,6120 
217,102F合庫西台,354.00,2175,12000,,218,102F合庫西台,354.50,1100,80 
219,102F合庫西台,355.00,200,0,,220,102F合庫西台,355.50,10,0 
221,102F合庫西台,356.00,0,3000,,222,102F合庫西台,357.00,2000,0 
223,102F合庫西台,357.50,0,3000,,224,102F合庫西台,358.00,1000,0 
225,102F合庫西台,358.50,70,0,,226,102F合庫西台,359.00,1000,0 
227,102F合庫西台,362.50,11000,0,,228,102F合庫西台,370.00,1000,1000 
229,102F合庫西台,371.00,2000,0,,230,102F合庫西台,371.50,1000,50000 
231,102F合庫西台,372.00,2000,0,,232,102F合庫西台,373.00,1000,0 
233,102F合庫西台,378.00,1000,0,,234,102G合庫三重,353.50,4525,60 
235,102G合庫三重,354.00,200,3000,,236,102G合庫三重,355.00,3000,200 
237,102G合庫三重,358.00,2000,0,,238,102G合庫三重,359.00,1000,0 
239,102G合庫三重,359.50,1000,0,,240,102G合庫三重,360.00,20,1000 
241,102G合庫三重,361.00,1000,0,,242,102G合庫三重,362.00,0,2000 
243,102G合庫三重,362.50,1000,1000,,244,102G合庫三重,363.00,4000,2000 
245,102G合庫三重,367.00,1000,0,,246,102G合庫三重,369.00,1000,0 
247,102G合庫三重,369.50,1000,0,,248,102G合庫三重,373.50,1000,0 
249,102G合庫三重,375.00,1000,0,,250,102G合庫三重,378.00,1000,0 
251,1030土　　銀,353.50,5768,230,,252,1030土　　銀,354.00,2423,20 
253,1030土　　銀,354.50,50,6011,,254,1030土　　銀,355.00,3050,1010 
255,1030土　　銀,357.00,50,0,,256,1030土　　銀,358.00,1000,0 
257,1030土　　銀,358.50,52,0,,258,1030土　　銀,359.00,100,2000 
259,1030土　　銀,359.50,1000,0,,260,1030土　　銀,360.00,1000,0 
261,1030土　　銀,367.00,0,3000,,262,1030土　　銀,368.50,1000,0 
263,1030土　　銀,371.50,1000,0,,264,1030土　　銀,372.00,1000,0 
265,1030土　　銀,374.50,1000,0,,266,1030土　　銀,378.00,3000,0 
267,1031土銀台中,353.50,3210,50,,268,1031土銀台中,354.00,1010,0 
269,1031土銀台中,354.50,0,1200,,270,1031土銀台中,355.00,1000,1000 
271,1031土銀台中,356.00,1000,0,,272,1031土銀台中,357.00,50,0 
273,1031土銀台中,359.50,1000,0,,274,1032土銀台南,353.50,2042,2100 
275,1032土銀台南,354.00,2000,1000,,276,1032土銀台南,354.50,2000,6000 
277,1032土銀台南,355.00,2100,4100,,278,1032土銀台南,355.50,0,2000 
279,1032土銀台南,356.50,0,1000,,280,1032土銀台南,357.00,0,1000 
281,1032土銀台南,359.50,100,0,,282,1032土銀台南,360.00,3000,0 
283,1032土銀台南,361.50,1000,0,,284,1032土銀台南,362.00,1000,0 
285,1032土銀台南,362.50,1000,0,,286,1032土銀台南,363.00,0,1000 
287,1032土銀台南,371.00,0,1000,,288,1032土銀台南,374.00,5000,0 
289,1032土銀台南,378.00,1000,0,,290,1033土銀高雄,353.50,1200,0 
291,1033土銀高雄,354.00,10,0,,292,1033土銀高雄,354.50,0,11000 
293,1033土銀高雄,355.50,0,1000,,294,1033土銀高雄,363.00,1000,0 
295,1033土銀高雄,368.00,1000,0,,296,1033土銀高雄,378.00,1000,0 
297,1034土銀嘉義,353.50,725,100,,298,1034土銀嘉義,354.00,0,1300 
299,1034土銀嘉義,354.50,0,3000,,300,1034土銀嘉義,355.00,1000,2000 
301,1034土銀嘉義,358.50,10,0,,302,1034土銀嘉義,362.50,1000,0 
303,1034土銀嘉義,363.00,0,3000,,304,1034土銀嘉義,370.00,1000,0 
305,1034土銀嘉義,370.50,1000,0,,306,1035土銀新竹,353.50,11601,200 
307,1035土銀新竹,354.00,1200,3000,,308,1035土銀新竹,354.50,1050,0 
309,1035土銀新竹,355.00,2000,0,,310,1035土銀新竹,356.00,1000,50 
311,1035土銀新竹,356.50,1000,0,,312,1035土銀新竹,357.50,1000,0 
313,1035土銀新竹,358.50,1520,0,,314,1035土銀新竹,360.00,1250,0 
315,1035土銀新竹,361.00,0,1000,,316,1035土銀新竹,362.00,0,1000 
317,1035土銀新竹,362.50,1000,0,,318,1035土銀新竹,363.00,5000,0 
319,1035土銀新竹,370.50,1000,0,,320,1035土銀新竹,372.00,5000,0 
321,1035土銀新竹,373.00,1000,0,,322,1036土銀玉里,353.50,3002,0 
323,1036土銀玉里,354.00,610,25,,324,1036土銀玉里,355.00,1000,3000 
325,1036土銀玉里,356.00,2,0,,326,1036土銀玉里,358.50,1000,400 
327,1036土銀玉里,372.00,1000,0,,328,1037土銀花蓮,353.50,20000,20000 
329,1037土銀花蓮,354.00,1022,0,,330,1037土銀花蓮,354.50,30,0 
331,1037土銀花蓮,355.00,20,0,,332,1037土銀花蓮,356.00,0,2000 
333,1037土銀花蓮,357.50,5,0,,334,1037土銀花蓮,358.00,10000,0 
335,1037土銀花蓮,361.50,5040,0,,336,1037土銀花蓮,363.00,1000,0 
337,1037土銀花蓮,371.00,1000,0,,338,1038土銀和平,353.50,168,4200 
339,1038土銀和平,354.00,3000,1000,,340,1038土銀和平,356.00,1000,0 
341,1038土銀和平,358.00,1000,0,,342,1038土銀和平,358.50,500,0 
343,1038土銀和平,360.50,1000,0,,344,1038土銀和平,361.50,1000,0 
345,1038土銀和平,375.00,1000,0,,346,1039土銀士林,353.50,2150,250 
347,1039土銀士林,354.00,1100,0,,348,1039土銀士林,355.00,200,0 
349,1039土銀士林,373.00,0,1000,,350,103A土銀建國,353.50,260,0 
351,103A土銀建國,354.00,105,1610,,352,103A土銀建國,355.00,0,1000 
353,103A土銀建國,355.50,100,0,,354,103A土銀建國,357.50,0,3000 
355,103A土銀建國,358.00,10000,0,,356,103A土銀建國,358.50,5,0 
357,103A土銀建國,359.50,150,0,,358,103A土銀建國,360.00,0,10000 
359,103A土銀建國,365.00,1000,0,,360,103B土銀彰化,353.50,10,0 
361,103B土銀彰化,354.00,50,0,,362,103B土銀彰化,354.50,0,3000 
363,103B土銀彰化,357.50,300,0,,364,103B土銀彰化,360.00,0,1000 
365,103B土銀彰化,361.50,200,0,,366,103B土銀彰化,363.00,10,0 
367,103B土銀彰化,370.50,0,4000,,368,103C土銀白河,353.50,61,0 
369,103C土銀白河,354.50,0,300,,370,103C土銀白河,363.00,1000,2000 
371,103F土銀南港,353.50,10,1399,,372,103F土銀南港,354.00,0,3000 
373,103F土銀南港,354.50,1000,3000,,374,103F土銀南港,356.00,1,0 
375,103F土銀南港,359.00,5,0,,376,103F土銀南港,359.50,5000,0 
377,103F土銀南港,362.50,4000,0,,378,103F土銀南港,365.50,1000,0 
379,103F土銀南港,371.50,1000,0,,380,103F土銀南港,378.00,6000,0 
381,1040臺    銀,353.50,12465,4154,,382,1040臺    銀,354.00,1379,4260 
383,1040臺    銀,354.50,1020,10480,,384,1040臺    銀,355.00,2173,1000 
385,1040臺    銀,356.00,100,1040,,386,1040臺    銀,357.00,200,1000 
387,1040臺    銀,357.50,2010,1000,,388,1040臺    銀,358.00,2000,0 
389,1040臺    銀,358.50,1750,2000,,390,1040臺    銀,359.00,60,0 
391,1040臺    銀,359.50,0,50,,392,1040臺    銀,360.00,2100,5010 
393,1040臺    銀,361.00,5,10,,394,1040臺    銀,361.50,1500,0 
395,1040臺    銀,362.00,2000,0,,396,1040臺    銀,362.50,2110,0 
397,1040臺    銀,363.00,5000,0,,398,1040臺    銀,365.00,1000,0 
399,1040臺    銀,366.00,1000,0,,400,1040臺    銀,367.00,1000,0 
401,1040臺    銀,368.50,1000,0,,402,1040臺    銀,369.00,2000,0 
403,1040臺    銀,370.00,3000,0,,404,1040臺    銀,371.00,1000,0 
405,1040臺    銀,372.50,1000,0,,406,1040臺    銀,373.00,2000,0 
